gene_id	L3_FPKM	L4_FPKM	L5_FPKM	L7_FPKM	L8_FPKM
1110054M08Rik	2.20085	2.58708	1.46827	2.18625	2.19785
1110057K04Rik	25.6242	28.2333	27.5019	26.9322	29.2979
1110058L19Rik	39.0631	35.6894	38.3457	43.7388	38.8053
1110059E24Rik	22.0615	26.3132	22.6816	24.8784	21.9326
1110059G10Rik	4.43177	4.91824	4.1784	5.58742	3.97211
1110059M19Rik	0.860935	0.0819366	0.884693	0.802287	0.865893
1110065P20Rik	29.3876	24.6085	26.4126	26.0523	26.0413
1190002F15Rik	0	0.829717	0.532345	0.640615	0
1190002N15Rik	19.0321	19.3761	19.4529	20.3547	19.7501
1190005I06Rik	2.97885	3.32944	3.43189	4.34638	3.16715
1190007I07Rik	6.68016	6.52531	8.33389	7.28784	6.51784
1200014J11Rik	4.77192	4.89094	4.66665	5.11382	4.66142
1300002E11Rik	9.2614	13.8138	13.2477	13.7028	10.8626
1300002K09Rik	0.0979313	0.160209	0.0190576	0.102842	0.0371093
1300015D01Rik	0.279083	0.214347	0.586235	0.496479	0.406904
1300017J02Rik	0	0.228312	0.0949047	0.0851056	0.1243
1500002O10Rik	0.0773384	0	0	0	0
1500004A13Rik	12.4659	12.9757	13.1912	13.2674	12.6696
1500009C09Rik	0.706402	0.485357	0.27365	0.324991	0.35624
1500009L16Rik	4.35225	3.84358	3.63127	2.16296	2.7157
1500011B03Rik	56.544	56.1384	48.8193	51.8533	56.8652
1500011K16Rik	45.8937	41.5501	48.1773	49.9444	48.6137
1500012F01Rik	17.6907	15.7345	18.118	20.6446	21.1432
1500012K07Rik	4.21246	3.73614	3.68525	5.38746	4.81776
1500015A07Rik	0.980691	1.0818	1.5244	0.938961	0.96244
1500015O10Rik	2.25565	3.937	5.42441	9.95663	2.71007
1500017E21Rik	1.3591	1.26958	1.40227	1.406	0.548476
1600002H07Rik	4.47196	5.10297	5.47287	4.93646	5.53083
1600002K03Rik	10.7878	10.6205	8.77935	9.92118	12.6808
1600010M07Rik	0	0	0.327929	0	0.320527
1600012H06Rik	13.8692	14.3628	13.204	12.9751	13.0935
1600014C10Rik	19.5425	18.8363	18.9174	17.3966	20.1967
1600014K23Rik	0	0	0.200464	0	0
1600016N20Rik	0.206897	0.186067	0.0528633	0.0698432	0.0257959
1600019K03Rik	0.273964	0	0	0	0
1600020E01Rik	3.47367	3.11252	3.96352	5.29205	3.05738
1600023N17Rik	0.646995	0.266002	0.218802	0.329824	0.500916
1600029D21Rik	0.0963593	0.312325	0.223939	0.0669119	0
1600029O15Rik	0.0476571	0.0884203	0.146822	0.231817	0.21304
1700001C19Rik	0.0660855	0	0	0	0.0753552
1700001G11Rik	0.453817	0	0.23849	0.634088	0
1700001G17Rik	0.355451	0.107752	0.275629	0.0801635	0.26995
1700001J03Rik	0.571857	0.391411	0.444187	0.0990834	0.32937
1700001J11Rik	0.129338	0	0	0	0
1700001K19Rik	1.67081	0.530403	0.329341	0.684089	0.972528
1700001K23Rik	0	0.268064	0	0	0
1700001L05Rik	9.64365	10.5394	11.7414	9.8223	9.08388
1700001L19Rik	1.34406	2.00307	1.80801	1.5668	2.17109
1700001O22Rik	0.547482	0.48439	0.563912	0.627738	1.07288
1700001P01Rik	0.807172	0.182918	0	0.13782	0
1700003D09Rik	0	0.0477139	0	0.107534	0.0393049
1700003E16Rik	3.1676	2.55904	2.7695	3.8691	3.3815
1700003F12Rik	1.81523	0.822251	0.93887	0.405864	0.460055
1700003F17Rik	0	0	0.492758	0	0
1700003M02Rik	3.95419	5.69079	4.78904	4.62194	4.25866
1700003M07Rik	0.029798	0.0786359	0.177305	0.0785703	0.0212043
1700003P14Rik	0	0.113275	0	0	0
1700007B14Rik	0	0	0.0751386	0.0345911	0.403897
1700007F19Rik	0.239951	0.115335	0.189724	0.217943	0.0919691
1700007G11Rik	1.10814	1.0825	0.496386	0.181398	0.882498
1700007J10Rik	0	0.237419	0.264327	0.238199	0.129598
1700007K13Rik	0.62937	0.757257	0.242989	0.430233	0.474038
1700007L15Rik	0.282064	0.900431	1.09827	0.384992	1.83535
1700007P06Rik	0.126128	0	0.199071	0.089519	0
1700008F21Rik	0.104212	0	0	0	0.166041
1700008I05Rik	0.05231	0	0.0420444	0	0.123517
1700008J07Rik	0.37147	0.972794	1.38087	1.11777	0.94463
1700008K24Rik	0.156996	0	0	0	0
1700008O03Rik	0.605146	0.790282	0.985183	0.982169	1.12623
1700009C05Rik	0	0	0	0	0
1700009J07Rik	0	0.17969	0	0	0
1700009P17Rik	1.14732	2.38408	1.98469	1.97611	1.07949
1700010B08Rik	0.112957	0	0	0	0
1700010I14Rik	0.738743	0.489889	0.379465	0.902426	0.649885
1700010K23Rik	0	0	0	0.70847	0
1700011B04Rik	0	0	0	0	0
1700011E24Rik	0	0	0.0746252	0	0
1700011I03Rik	2.43875	2.50454	2.91089	3.91202	2.95757
1700011J10Rik	6.85757	7.13475	6.06482	6.56559	6.7105
1700011L22Rik	1.61479	0.660497	0.695992	0.803335	1.50057
1700011M02Rik	0	0	0	0.226869	0
1700012B07Rik	0	0	0.0748758	0	0
1700012B15Rik	2.36728	2.16643	1.77282	1.15673	2.25447
1700012D01Rik	1.15906	0.750092	0.466076	0.279103	0.909444
1700012D14Rik	0	0.378594	0	0.141281	0.311397
1700012I11Rik	0.1028	0	0	0.0736798	0
1700013F07Rik	0.685454	0	0	0.118238	0
1700013G23Rik	1.02719	0.748114	0.78976	0.563255	1.69976
1700015E13Rik	0.680954	0.120444	0.623229	0.182752	0.410534
1700015F17Rik	0	0.341459	0	0.12841	0.137688
1700016D06Rik	0	0	0	0	0.0576919
1700016H13Rik	0	0.0968077	0	0.0908716	0
1700016K19Rik	0	0	0.208161	0.1222	0
1700017B05Rik	0.953799	1.15979	0.895694	1.1263	0.732353
1700017G19Rik	0	0	0	0.122496	0
1700017N19Rik	0	0	0.041866	0.0378382	0.0818819
1700018B08Rik	0	0	0	0.062046	0
1700018L02Rik	6.23225	6.85891	5.75801	7.67524	7.42869
1700019B03Rik	0.0924693	0	0.0698235	0.0613949	0.0340804
1700019D03Rik	3.794	4.02431	4.06387	3.35786	5.25601
1700019G17Rik	1.69768	1.42644	1.24154	1.16675	1.05503
1700019L03Rik	0.441257	0.773453	0.55273	0.244841	0.376356
1700019N19Rik	0.634321	0	0.135528	0.179993	0.0663864
1700019O17Rik	0	0.0704955	0	0	0.0584589
1700020A23Rik	0.151147	0	0.482782	0.92367	0.178164
1700020D05Rik	0.327621	0.369101	0.625862	0.661224	0.429173
1700020I14Rik	46.4088	45.5292	42.4789	47.9951	43.061
1700020L24Rik	2.28781	1.07309	2.44152	1.83884	2.00016
1700020N18Rik	0.379001	0.500288	0.143927	0.126547	0.846299
1700021F05Rik	25.417	29.7864	31.3944	28.3288	29.1711
1700021K19Rik	18.6783	18.1137	18.4958	17.1469	18.2323
1700022I11Rik	0.0385043	0	0	0.013404	0
1700022P22Rik	0	0	0.26672	0.712228	0
1700023E05Rik	0	0	0.17739	0	0.0689931
1700023F06Rik	1.25425	2.68198	1.67883	2.69981	2.03013
1700023L04Rik	0	0.306026	0.389171	0.800029	0.508779
1700024F13Rik	0	0.18254	0	0.136549	0
1700024G13Rik	0	0	0	0	0
1700024P16Rik	0.103375	0.44393	0.736511	0.462969	0.460226
1700025F24Rik	0	0.118616	0	0.0887646	0
1700025G04Rik	9.70519	10.4506	10.0766	9.13101	9.38791
1700025K24Rik	0.253649	0	0	0	0
1700026D08Rik	0	0.0657554	0.0550705	0	0
1700026D11Rik	0	0	0	0	0
1700026L06Rik	0.135987	0	0.309068	0.18013	0.199891
1700027H10Rik	0.196998	0	0.152009	0.137602	0.297566
1700027J07Rik	0	0	0.0662481	0	0
1700028E10Rik	0.472055	0.558237	0.189815	0.254763	0.554129
1700028I16Rik	0	0	0	0	0.0766234
1700028J19Rik	0.550417	0.938818	0.4294	0.192012	0.418608
1700028K03Rik	0.524735	0.590342	0.215964	0.351433	0.230748
1700029H14Rik	0	0.0516761	0	0	0
1700029I15Rik	0.549786	0	1.25983	0.742204	0.83276
1700029J07Rik	0.92877	1.87602	1.81243	1.87302	1.47516
1700030C10Rik	8.98306	6.31302	8.30729	6.0874	4.17545
1700030F18Rik	0	0.346758	0	0.260537	0
1700030J22Rik	1.7934	1.41602	1.71895	1.49606	2.27971
1700030K09Rik	2.73241	2.64426	2.32813	2.50086	2.78584
1700030L20Rik	0.614161	0.94503	0.483277	0.792459	0.572434
1700034F02Rik	0.147205	0.35002	0.0400668	0.150081	0.237847
1700034H15Rik	0.152479	0.09093	0.0636065	0.180525	0.195339
1700034I23Rik	0	0	0.0701383	0	0.0685264
1700034P13Rik	3.63616	3.10673	3.87955	4.23988	4.28719
1700036G14Rik	0.487512	0	0	0	0
1700037C18Rik	2.12076	1.73774	1.84376	1.56466	2.098
1700037H04Rik	64.2909	62.2778	58.2397	56.3424	59.2025
1700039E15Rik	0	0	0.0370211	0	0
1700039E22Rik	0.264263	0	0	0	0
1700040L02Rik	0.61826	0.366685	0.182396	0.274151	0.535409
1700040N02Rik	0.228903	0.0717537	0.0599833	0.107884	0
1700042O10Rik	0	0	0	0.138688	0
1700047E10Rik	0	0	0.160859	0	0
1700047G03Rik	0	0	0	0.10452	0
1700047M11Rik	0	0.153832	0.520751	0.697692	0.7747
1700048M11Rik	1.96432	0	0.250569	0	0.747195
1700048O20Rik	0.820864	1.37939	0.846632	0.605301	1.92472
1700049G17Rik	1.203	1.45197	1.66928	1.48977	1.44165
1700052K11Rik	1.79795	1.24045	2.09536	1.88593	1.75211
1700052N19Rik	8.18603	11.0665	9.68511	9.64982	9.81424
1700055N04Rik	0	0.0704042	0.0885952	0	0.0285628
1700056E22Rik	0.33655	0.286575	0.313496	0.211008	0.362632
1700058G18Rik	2.84741	1.7111	2.18151	1.64586	2.079
1700060C20Rik	0	0	0	0.343429	0
1700061G19Rik	0	0.0297977	0.100147	0.111778	0.0983055
1700061I17Rik	0.0948162	0	0	0	0
1700063D05Rik	0	0.171017	0	0	0.283013
1700064M15Rik	0	0	0	0.123948	0.137925
1700065D16Rik	0	0	0.315359	0	0
1700065J18Rik	0.421234	1.15024	0.325759	0	0.321156
1700065O20Rik	0	0	0	0.134148	0
1700066B19Rik	0.0603902	0.108517	0.319296	0.0808266	0.0656062
1700066J24Rik	43.2369	33.9525	38.2991	36.0345	41.783
1700066M21Rik	20.8471	22.5858	22.4813	19.8	17.954
1700067K01Rik	0.233299	0.139329	0.236834	0.0520409	0.11541
1700071M16Rik	3.96384	3.6513	4.17354	2.68074	3.68708
1700073E17Rik	0.105662	0.14532	0.0169956	0.0934139	0.0166611
1700084C01Rik	0.274975	0.414917	0.30319	0.468076	0.551488
1700084E18Rik	0.675144	0.305593	0.26289	0	0.257643
1700086L19Rik	9.87973	8.46129	8.24982	6.2489	6.42367
1700086O06Rik	2.88554	4.59838	4.19926	3.29963	3.34267
1700088E04Rik	2.9951	2.33672	2.33114	3.27631	2.35794
1700091E21Rik	0	0	0	0.121524	0
1700091H14Rik	0.860706	0.746276	0.675199	0.991433	0.406955
1700092M07Rik	0	0.368687	0	0	0
1700093K21Rik	0.149513	0.376821	0.238635	0.10804	0.153822
1700094D03Rik	0.858808	1.07953	0.856175	0.944868	0.755009
1700094J05Rik	0.0994835	0	0.0786539	0.0712364	0.0770625
1700095B22Rik	0.843046	0	0.130208	0.725564	0.4456
1700096J18Rik	0.321357	0.291882	0.740229	0.659689	0
1700096K18Rik	1.20108	1.16165	1.56193	1.56231	0.697939
1700101I11Rik	0.755193	1.54304	1.39664	2.31171	1.86367
1700102P08Rik	0.294097	0.187746	0.777322	0.490691	0.457856
1700105P06Rik	0	0	0	0	0.181703
1700106J16Rik	0.087368	0	0.205154	0	0
1700108F19Rik	0.129292	0	0	0	0
1700109F18Rik	0.0942857	0.0811688	0	0.366503	0
1700109G14Rik	0.258931	0.48771	0	0	0.10008
1700109H08Rik	0	0	0	0.152475	0.162294
1700110C19Rik	0.246477	0.105864	0.0915872	0.080919	0
1700110K17Rik	0.547554	0.463715	0.237514	0.208067	0.151349
1700112E06Rik	2.07023	2.71219	3.45708	1.27955	1.25827
1700113A16Rik	3.63207	5.08121	6.08002	4.22531	3.44173
1700113H08Rik	0.143271	0.130859	0.166034	0.297191	0.16227
1700120C14Rik	0.871926	0.761693	0.675004	0.59271	0.332727
1700120G07Rik	0	0	0	0.188682	0
1700120K04Rik	0.467476	0	0.36529	0.320798	0
1700123I01Rik	0	0.102552	0.0431079	0.307771	0.252104
1700123K08Rik	0	0	0	0.0557536	0
1700123L14Rik	0	0.124627	0.104916	0	0.0684736
1700123M08Rik	0.392606	0.752117	1.32958	0.707112	1.07587
1700123O20Rik	13.4202	14.9206	11.9406	13.9857	13.0608
1700125G02Rik	0	0	0	0	0.146747
1700125H03Rik	0	0	0	0.216776	0.482294
1700125H20Rik	0.52096	0	0.0821042	0.0735337	0
1700128A07Rik	0	0	0	0	0.105229
1810006J02Rik	0.387432	0.159511	0.44898	0.359285	0.503864
1810007D17Rik	0.154231	0.716586	0.357953	0.969874	1.62871
1810008I18Rik	0.155705	0	0	0	0
1810009A15Rik	17.5196	16.0635	18.6976	15.9716	16.5101
1810010D01Rik	1.16933	0.382107	0.654124	0.212376	0.559158
1810010H24Rik	1.26665	1.15953	1.32055	1.07272	1.73018
1810011H11Rik	0.121366	0.285856	0.0955814	0.474502	0.375518
1810011O10Rik	7.61214	9.02591	9.92808	8.52167	7.16498
1810012K16Rik	0	0	0	0.173418	0.186267
1810013L24Rik	28.0196	27.736	26.4432	27.8238	28.8236
1810014B01Rik	1.04305	2.16762	1.88327	1.9596	0.890163
1810019D21Rik	0	0	0	0	0.0444748
1810020O05Rik	0.931383	1.04187	0.659108	0.260182	0.936426
1810021B22Rik	0.185608	0.340223	0.722263	0.508911	0.282974
1810022K09Rik	134.451	120.941	111.793	136.469	123.05
1810024B03Rik	0.0709168	0.270457	0.166966	0.25359	0.217106
1810026B05Rik	3.02839	4.82638	3.32169	4.10417	3.22299
1810026J23Rik	25.0755	24.3948	24.6601	23.1664	26.6828
1810030O07Rik	11.6064	13.3671	13.1358	15.3412	14.0668
1810032O08Rik	2.01408	1.2486	1.64744	2.29783	1.61222
1810033B17Rik	0.0839731	0.799423	1.26568	1.32852	0.59474
1810034E14Rik	0.33434	0.381925	0.225597	0.372402	0.156706
1810035I16Rik	0	0.597477	0	0	0
1810037I17Rik	37.4284	44.7726	45.317	51.0539	49.1032
1810041L15Rik	15.2759	14.7327	15.0492	13.6381	15.303
1810043G02Rik	17.0506	16.8052	17.1534	17.3384	16.8406
1810043H04Rik	19.8328	25.6239	18.5727	23.2772	21.8122
1810044D09Rik	2.60156	1.49878	2.27123	2.92385	2.22087
1810053B23Rik	0.188334	0	0	0	0.0571659
1810055G02Rik	5.94982	7.10291	7.19175	6.08021	5.61318
1810058I24Rik	80.5186	89.4683	83.1682	82.6586	86.2451
1810062G17Rik	0.693913	1.43221	1.37535	1.23559	0.901696
1810062O18Rik	0.153228	0.988651	0.235715	0.738631	0.232848
1810064F22Rik	0	0	0.0866178	0.0401682	0.126618
1810065E05Rik	0	0	0	0.188001	0.102561
2010001E11Rik	0.0395349	0.188764	0.155276	0.112521	0
2010001M06Rik	3.40232	4.73959	5.44175	4.0946	2.99631
2010002M12Rik	0.385957	1.15981	0.605646	0.581124	0.357263
2010003K11Rik	0.467575	0.141311	0.0596307	0.422499	0.174557
2010003O02Rik	7.86955	9.92606	23.9109	24.0512	12.4267
2010005H15Rik	0	0	0	0.187019	0.406092
2010009K17Rik	0	0.183276	0	0	0
2010012O05Rik	12.3834	12.0984	12.2495	13.1132	12.9456
2010015L04Rik	1.87617	1.61777	2.03454	2.105	2.16658
2010016I18Rik	0.204435	0.0448523	0.305443	0.166323	0.0370514
2010107E04Rik	646.526	710.34	664.834	690.056	668.368
2010107G12Rik	0.319299	0.144963	0.364635	0.0809132	0
2010107G23Rik	13.789	16.2994	14.5387	14.7763	15.4689
2010109A12Rik	0	0	0	0.183599	0
2010111I01Rik	8.21629	10.5199	9.7887	8.83005	7.66757
2010204K13Rik	0.895474	1.91262	1.33519	2.9187	1.58905
2010300C02Rik	0.481753	0.496921	0.579576	0.44106	0.457569
2010308F09Rik	0	0	0.542011	0	0
2010310C07Rik	0	0	0.107937	0	0
2010315B03Rik	6.36969	5.35136	5.68537	6.33537	5.11404
2010320M18Rik	6.40542	7.13	6.74343	5.9679	6.42936
2200002D01Rik	4.14514	0.873365	1.68955	2.78725	2.76623
2200002J24Rik	0.195783	0	0	0	0
2210010C04Rik	0	0.0847733	0.0351576	0.0634559	0
2210013O21Rik	84.9721	87.7796	83.2502	80.4738	91.0495
2210015D19Rik	7.8131	7.09539	8.76301	7.00097	8.83392
2210016F16Rik	5.37253	5.41726	5.43399	4.89244	6.53438
2210016L21Rik	54.0863	50.231	51.7714	47.9792	58.2585
2210018M11Rik	4.5499	5.01533	5.68918	6.2826	5.24725
2210039B01Rik	1.74554	1.92927	1.53719	1.58842	1.65599
2210404O07Rik	0	0.561559	1.11452	0.141877	0.313008
2210404O09Rik	3.03227	3.04098	3.01444	2.68233	3.93746
2210407C18Rik	0.258539	0.496302	0.102822	0	0.101015
2210408F21Rik	10.3527	10.6516	12.3414	10.9694	10.3113
2210408I21Rik	2.90531	3.41362	3.00822	4.40657	3.95135
2210409E12Rik	0.478268	0	0.731228	0	0
2210416O15Rik	0.583001	0.280113	0.37899	0.164395	0.422341
2210417A02Rik	0.284482	0	0	0	0
2210417K05Rik	0.913534	3.34736	1.23242	0.957017	3.08627
2210420H20Rik	0.168708	0	0	0	0
2300002M23Rik	0	0	0	0	0
2300005B03Rik	2.09128	2.86374	1.62551	4.34827	4.77764
2300009A05Rik	8.09741	11.139	10.1577	11.8187	9.44501
2310001H17Rik	1.2878	0.339773	0.560333	0.186312	0.985111
2310001K24Rik	0	0.664079	0.575724	0.251462	0
2310002D06Rik	0	0	0.202357	0	0
2310002F09Rik	0.677009	0.388189	0.822771	0.960436	0.428938
2310002J15Rik	0	0	0.106004	0	0
2310002L09Rik	0	0	1.19313	0.0947706	0
2310003H01Rik	6.2685	5.10442	5.42469	6.07811	6.51397
2310005G13Rik	0.111564	0	0	0.0844227	0.0882178
2310007B03Rik	0	0	0.027392	0	0.0267161
2310007L24Rik	0	0	0.0617496	0.106775	0
2310009A05Rik	18.2803	12.8796	15.8826	15.6379	13.3208
2310009B15Rik	7.04948	5.61633	6.54305	7.59668	7.60606
2310010J17Rik	1.80877	0.39988	1.03299	1.52435	0.339811
2310011J03Rik	17.805	15.4763	14.4515	15.779	15.6572
2310014F07Rik	0	0	0.137634	0.0624427	0
2310014L17Rik	0.0487602	0.0673587	0.113177	0.0333998	0.164978
2310015A10Rik	4.06512	3.3392	3.989	3.64293	3.24898
2310015B20Rik	0.340582	0.310325	2.62541	0.46841	0
2310015D24Rik	0.0285962	0	0.13498	0	0.0219934
2310016D03Rik	0	0.248862	0	0	0.0495369
2310020H05Rik	0	0	0.126527	0	0.245043
2310022A10Rik	3.72567	4.77811	4.86736	4.12125	5.08314
2310022B05Rik	19.5812	16.9133	18.6053	17.454	18.7178
2310030G06Rik	1.84288	2.49387	1.96688	1.92408	1.97516
2310033P09Rik	11.3947	10.1214	10.6441	9.44265	11.1564
2310034G01Rik	0.133374	1.45639	0.722358	0.543706	1.09863
2310034O05Rik	0.0981782	0.479489	0.157362	0.215383	0.0779422
2310035C23Rik	20.8233	19.2789	19.714	21.2799	20.6756
2310036O22Rik	67.6068	79.2715	78.1127	77.6973	73.6903
2310039H08Rik	2.59292	3.8216	4.26416	2.49518	3.00805
2310039L15Rik	0.805513	0.192384	1.2755	1.58451	1.24621
2310040G24Rik	1.43782	2.61164	3.1673	0.998837	1.88995
2310042D19Rik	0.823798	0.816942	1.49805	1.10696	0.744627
2310042E22Rik	0	0.157261	0	0	0
2310043O21Rik	0	0.156293	0	0.117477	0
2310044G17Rik	23.9936	24.5271	23.5168	23.9094	22.4538
2310045N01Rik	19.8087	18.5016	19.4961	22.8592	18.5854
2310047M10Rik	21.0395	16.8372	17.9995	16.6515	16.0435
2310050B05Rik	0	0.612948	0	0	1.60386
2310057J18Rik	0.181376	0	0.145058	0.267991	0.141667
2310057M21Rik	13.7642	12.4598	12.5476	13.4354	12.5356
2310061I04Rik	54.0938	51.2853	54.6285	49.1661	55.8623
2310061J03Rik	1.45226	1.6956	1.33316	1.0803	1.24324
2310065F04Rik	0.155268	0.174147	1.13677	0.414272	0.257957
2310067B10Rik	12.4638	10.8409	13.5508	10.0644	12.077
2310068J16Rik	0.82166	0.356484	0.431798	0.209621	0.594766
2310069B03Rik	0.14826	0.0934362	0.153571	0.0349152	0.0748526
2310069G16Rik	4.90438	7.46083	5.67158	6.63369	6.17652
2410002F23Rik	13.7832	12.7796	13.6833	13.2432	15.1654
2410004B18Rik	20.9216	20.3937	19.4341	19.3178	18.4469
2410004I01Rik	0.21367	0	0	0.0744278	0.0808973
2410004N09Rik	4.2517	7.87986	5.49028	3.52646	5.92184
2410004P03Rik	0	0	0.0656319	0.0286097	0.160391
2410006H16Rik	32.7175	34.7941	36.7578	35.1296	40.2004
2410012E07Rik	0.0666899	0	0.106213	0.243861	0.259565
2410012M07Rik	0	0.0401602	0	0	0
2410015M20Rik	36.4399	35.3502	37.1466	35.0246	38.3167
2410016O06Rik	2.50996	3.03064	2.81018	2.85787	2.55293
2410018L13Rik	20.4833	17.5735	20.4585	14.7849	21.8699
2410018M08Rik	1.84245	2.07378	1.90551	1.51795	2.33079
2410021H03Rik	1.30414	1.89224	0.518941	2.613	0.888345
2410057H14Rik	0.598646	0.374085	0.472762	0.282039	0.31084
2410066E13Rik	53.2193	58.8688	52.1648	56.527	58.4034
2410076I21Rik	0.559065	0.610027	0.782502	0.534937	0.428977
2410089E03Rik	5.47047	5.06151	6.12432	6.71942	5.41228
2410127L17Rik	10.9925	8.04186	12.6023	12.7297	11.7598
2410131K14Rik	9.53179	8.95677	8.40381	7.89134	9.22436
2410133F24Rik	1.5021	1.59733	1.9875	1.45317	0.748437
2410137F16Rik	0.188724	0.0615407	0.225863	0.32305	0.587309
2410137M14Rik	0	0	0.0848757	0.0762109	0.163731
2500004C02Rik	1.65509	0.786321	2.69888	1.93711	1.78229
2510002D24Rik	4.88817	5.96558	4.84848	5.87395	6.74339
2510003D18Rik	0	0.293397	0.24328	0.220493	0
2510003E04Rik	51.3383	50.3279	52.4183	50.0417	54.0496
2510009E07Rik	36.0186	37.5142	34.5886	35.7243	35.279
2510039O18Rik	16.5615	15.7942	14.1772	14.256	15.2491
2510049J12Rik	0.414272	0.178978	0.273698	0.134322	0.265952
2610001J05Rik	28.3971	31.3001	28.6569	30.3443	31.2513
